record_id,title,creator,released,year_set,horizon,release_decade,medium,genre,is_series,multiyears,predictions
henry_buck_1950,Buck Rogers in the 25th Century,Babette Henry,1950,2400,450,1950,television,NA,NA,NA,NA
asimov_pebble_1950,Pebble in the Sky,Isaac Asimov,1950,12411,10461,1950,prose fiction,science fiction,NA,NA,NA
coblentz_after_1950,"After 12,000 Years",Stanton Arthur Coblentz,1950,14101,12151,1950,prose fiction,science fiction,NA,NA,NA
greene_tom_1950,"Tom Corbett, Space Cadet",Joseph Greene,1950,2300,350,1950,prose fiction,science fiction,NA,NA,NA
bradbury_martian_1950,The Martian Chronicles,Ray Bradbury,1950,2013,63,1950,prose fiction,anthology,NA,1999-2026,"Short stories about humans living on a terraformed Mars.[66] A 1997 edition of the book advances all the dates by 31 years, thus running from 2030 to 2057."
hampson_dan_1950,Dan Dare (original stories),Frank Hampson,1950,1990,40,1950,comics,comic,NA,NA,Depicts an interplanetary war between Earth and Venus.[30]
asimov_evitable_1950,The Evitable Conflict,Isaac Asimov,1950,2052,102,1950,prose fiction,science fiction,NA,NA,NA
bradbury_there_1950,There Will Come Soft Rains,Ray Bradbury,1950,2026,76,1950,prose fiction,science fiction,NA,NA,"In 1985, computer controlled houses cook and clean for their inhabitants. In that year, humanity is wiped out by a nuclear war."
anderson_flight_1950,Flight to Forever,Poul Anderson,1950,1973,23,1950,prose fiction,science fiction,NA,NA,NA
brown_honeymoon_1950,Honeymoon in Hell,Fredric Brown,1950,1962,12,1950,prose fiction,anthology,NA,1962-1963,NA
decamp_hand_1981,The Hand of Zei,L. Sprague de Camp,1950,2143,193,1950,prose fiction,science fiction,Q7924459,"2132, 2143, 2144",NA
bradbury_pedestrian_1951,The Pedestrian,Ray Bradbury,1951,2053,102,1950,prose fiction,NA,NA,NA,NA
clarke_sentinel_1951,The Sentinel,Arthur C. Clarke,1951,1996,45,1950,prose fiction,science fiction,NA,NA,An expedition to Mare Crisium unearths an alien artifact. The inspiration for 2001: A Space Odyssey.
heinlein_man_1951,The Man Who Sold The Moon,Robert A. Heinlein,1951,1978,27,1950,prose fiction,science fiction,NA,NA,"By 1978, the Moon has yet to be landed on and a self-described ""robber baron"" bluffs and schmoozes his way towards purchasing it, particularly through cuius est solum, eius est usque ad coelum et ad inferos and that the equatorial countries that the Moon passes over must have a claim to its land."
