id,author_wikidata,oclc_isbn,oclc_owi,total_weeks,htid,author_wikidata_qid,hathi_rights,isbn,title_id,author_conflict,best_rank_conflict,debut_rank_conflict,first_week_conflict,oclc_conflict,title_conflict,year_conflict
1004,Q1258959,0525946500,701938,4,mdp.39015055452364,Q1258959,ic,0525946500,1004,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1005,Q443055,037550169X,196602657,1,mdp.39015046486091,Q443055,ic,0091784425,1005,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1006,Q361617,9780060263850,20031489,3,mdp.39015005106094,Q361617,ic,NA,1006,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1008,Q7647805,NA,12431148,11,mdp.39015063917663,Q7647805,ic,NA,1008,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1010,Q6380527,0399137912,429391,8,mdp.39015029962357,Q6380527,ic,0399137912,1010,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1012,NA,NA,NA,1,uc1.b4086401,NA,ic,NA,224,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
1017,Q176049,9780743290111,119842906,11,mdp.39015076179640,Q176049,ic,1416548394,1017,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1023,Q361653,0394500792,9185399758,47,mdp.39015000680200,Q361653,ic,0394502027,1023,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1024,Q231356,0399149392,706013,5,mdp.39015056159984,Q231356,ic,0399149392,1024,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1026,Q561435,NA,1687131,8,uc1.b3209734,Q561435,und,NA,1026,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1027,Q1334536,9780446402385,104566754,3,uc1.32106019834552,Q1334536,ic,0446402389,1027,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1029,Q2510607,NA,1774908,9,mdp.39015055255890,Q2510607,ic,NA,1029,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
103,Q2742535,NA,203734049,1,uc1.$b101886,Q2742535,pd,NA,103,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1030,Q288198,0553089307,18822472,4,mdp.39015034223597,Q288198,ic,0553089307,1030,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1032,Q258096,0743245547,895535,6,mdp.39015062548329,Q258096,ic,0743245547,1032,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1033,Q440793,0553803174,320314,3,mdp.39015061458843,Q440793,ic,0553803174,1033,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1036,Q207036,NA,1476111,1,uc1.$b106360,Q207036,und,NA,1036,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1039,Q1208990,0553107305,765563,2,mdp.39015055186145,Q1208990,ic,0553107305,1039,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
104,Q1586662,NA,1476902,12,uc1.$b106325,Q1586662,ic,NA,104,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1047,Q39829,0670220264,1876700431,32,uc1.32106009833416,Q39829,ic,0670220264,1047,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1049,NA,NA,16524,11,inu.32000009629249,NA,ic,NA,1049,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
105,Q38392,NA,461748,15,mdp.39015017691224,Q38392,ic,NA,105,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1050,Q3704362,9780778323495,58297073,3,mdp.39015066769749,Q3704362,ic,0778323498,1050,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1051,Q5052809,NA,48429988,38,mdp.39015048745395,Q5052809,ic,NA,1051,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1052,Q352059,039914207X,4161056431,8,mdp.39015041007728,Q352059,ic,0399142274,1052,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1054,Q982095,0786862580,198444419,3,mdp.39015040531215,Q982095,ic,0786862580,1054,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1056,Q558425,0060149906,4417283077,13,uc1.b4951315,Q558425,ic,NA,1056,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1058,Q152690,0385301499,706918,12,mdp.39015046344217,Q152690,ic,0385301499,1058,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1061,Q333713,0385110030,19805233,12,mdp.39015002287590,Q333713,ic,0002221020,1061,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1062,NA,NA,NA,8,uc1.b4086401,NA,ic,NA,224,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
1063,Q272610,0679423907,1863697946,7,mdp.39015040053905,Q272610,ic,0679423907,1063,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1064,Q380202,NA,51582936,10,mdp.39015054021426,Q380202,ic,NA,1064,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1066,NA,NA,NA,4,uc1.b4086401,NA,ic,NA,224,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
1068,Q335232,0679447830,196759752,4,mdp.39015043412298,Q335232,ic,0679447830,1068,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1069,Q1648830,9780802121530,1333265,24,uc1.32106002184684,Q1648830,ic,NA,1069,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
